FIPS,Lat,Long_
53005,46.23946995,-119.5120834
26019,44.63899297,-86.01608482
34003,40.96010917,-74.07164325
45015,33.20222596,-79.94654523
54003,39.46704621,-78.02414609
42011,40.41570541,-75.92457766
25003,42.37428441,-73.20524838
35001,35.05163625,-106.6703554
13019,31.27590016,-83.2252992
26021,41.95447397,-86.4131308
37015,36.0688473,-76.96545943
2050,60.90980451,-159.8561831
48029,29.44928723,-98.52019748
1007,32.99642064,-87.1251146
13021,32.80904227,-83.70489165
22013,32.34569994,-93.05398492
30003,45.42335905,-107.492347
56003,44.52405055,-107.9960365
27011,45.42712824,-96.41403739
16011,43.2167288,-112.3978437
19013,42.4704581,-92.30524729
18009,40.47388153,-85.32499702
37017,34.61296243,-78.56180059
16013,43.4085812,-113.9752658
40011,35.87518314,-98.43307003
42013,40.47961444,-78.34917412
48031,30.26640707,-98.3999852
51021,37.13128068,-81.13599391
13023,32.43829035,-83.33035166
47007,35.59942968,-85.20611967
1009,33.98210918,-86.56790593
47009,35.68938198,-83.92847788
27013,44.03554215,-94.06699781
28011,33.79696941,-90.87372121
29017,37.32449052,-90.02725304
46009,42.98914167,-97.88592746
17005,38.88829622,-89.43534887
16017,48.29996017,-116.6017932
16019,43.38713372,-111.6161537
5009,36.3084504,-93.09374925
17007,42.32359279,-88.82345779
18011,40.0509304,-86.46841646
19015,42.03657094,-93.9313999
21015,38.97065142,-84.72615357
29019,38.99186229,-92.30723575
31011,41.70759415,-98.06737183
54005,38.01974191,-81.69888019
48035,31.89978581,-97.63613524
22015,32.67932307,-93.60460152
51023,37.55531756,-79.80982182
8013,40.09313619,-105.3546767
16021,48.76684761,-116.4630179
20011,37.85508555,-94.84865997
21017,38.2054607,-84.21827874
48037,33.44626922,-94.41834132
38011,46.11285362,-103.5203343
31013,42.22079243,-103.0878834
21019,38.36176608,-82.68652187
21021,37.62680923,-84.8633779
21023,38.69158994,-84.08532444
12007,29.95079741,-82.16611613
42015,41.78869215,-76.51570822
5011,33.46755808,-92.15980837
47011,35.15739424,-84.857186
26023,41.91600556,-85.05929476
13025,31.19576557,-81.97743999
54007,38.70036159,-80.72011184
48039,29.18757369,-95.44563172
48041,30.6636448,-96.30205577
21025,37.52333168,-83.31959161
21027,37.77377239,-86.42885017
19017,42.77461496,-92.31795937
12009,28.29409504,-80.73091022
48043,29.81008251,-103.2520326
48045,34.53026962,-101.2084947
25005,41.79228404,-71.10872211
44001,41.71018079,-71.28652315
51520,36.6163024,-82.16359122
30007,46.33277565,-111.4955813
54009,40.27367263,-80.57915332
46011,44.36974375,-96.79079945
13027,30.83922642,-83.58303423
48047,27.03103197,-98.21808402
36007,42.15903158,-75.81326086
8014,39.95998787,-105.0566324
12011,26.15184651,-80.48725556
17009,39.96209138,-90.75068024
18013,39.19605589,-86.22868909
20013,39.82652589,-95.56421698
27015,44.24205652,-94.72562874
39015,38.93416837,-83.86788395
46013,45.58994323,-98.35165355
48049,31.77430356,-98.99907113
55009,44.4526553,-88.00411844
46015,43.71756379,-99.08118954
37019,34.070565,-78.22814204
51025,36.76366949,-77.8593436
13029,32.00979311,-81.44002948
40013,33.96472458,-96.25903472
19019,42.4709188,-91.83510825
29021,39.65816401,-94.80138942
51027,37.26818323,-82.03749726
51029,37.57242268,-78.52518834
42017,40.33682119,-75.10836643
19021,42.73545875,-95.15100162
51530,37.73484642,-79.35296097
31019,40.85486962,-99.07500296
46017,44.07657829,-99.20814467
55011,44.37835084,-91.75332578
21029,37.97162523,-85.68955617
13031,32.39577406,-81.74811421
1011,32.10030533,-85.71265535
37021,35.61113393,-82.53305
17011,41.40385234,-89.5283051
13033,33.05917989,-81.99928721
37023,35.74989637,-81.70755735
38013,48.79094471,-102.5182117
38015,46.97847375,-100.4645214
48051,30.49273808,-96.62158484
34005,39.87681124,-74.66927768
48053,30.78801353,-98.181887
31021,41.85056773,-96.32605633
1013,31.75300095,-86.68057478
19023,42.73172833,-92.79015971
20015,37.78134351,-96.83878537
21031,37.20946153,-86.68748787
29023,36.71462476,-90.40421163
31023,41.22703692,-97.13106306
39017,39.44012838,-84.57388716
42019,40.91152759,-79.91351055
6007,39.66727762,-121.6005252
46019,44.90608745,-103.5079318
13035,33.2830945,-83.9543504
37025,35.3877799,-80.55267168
54011,38.42424062,-82.23855912
22017,32.57991587,-93.88375652
40015,35.17364557,-98.37534464
6009,38.20537103,-120.552913
22019,30.22931235,-93.35400434
21033,37.14749129,-87.86948214
22021,32.0902519,-92.11752148
29025,39.65620858,-93.98308093
37027,35.95204977,-81.54799522
48055,29.83668859,-97.61814775
50005,44.46548598,-72.10314651
1015,33.77483727,-85.82630386
12013,30.40666734,-85.19394153
13037,31.53169785,-84.62725131
17013,39.16840183,-90.66330078
19025,42.38521079,-94.64046046
26025,42.24633834,-85.00493569
28013,33.93683395,-89.33686647
45017,33.66926881,-80.77722168
48057,28.47048236,-96.61633945
48059,32.29760619,-99.37326312
29027,38.83674754,-91.92186505
21035,36.62093411,-88.2731593
55015,44.0816316,-88.21780273
24009,38.53961642,-76.56820632
16025,43.46665742,-114.8065892
42021,40.49527404,-78.71377428
13039,30.92951916,-81.66601818
29029,38.02199522,-92.76083747
34007,39.80343818,-74.96388753
37029,36.33804939,-76.15568396
22023,29.87592238,-93.19310676
42023,41.43625568,-78.20376845
48061,26.14524221,-97.48140372
48063,32.97195142,-94.97790104
21037,38.94384345,-84.37875208
47013,36.40355516,-84.1510856
51031,37.20553386,-79.09678609
56005,44.24886082,-105.5474404
40017,35.5426055,-97.98465569
13043,32.40209349,-82.07702563
47015,35.80990797,-86.05738983
16027,43.61970148,-116.7095499
29031,37.38489388,-89.6843587
34009,39.15008829,-74.80170244
30009,45.22850116,-109.0274047
42025,40.91545395,-75.7068525
56007,41.69357844,-106.9326084
16029,42.77149116,-111.5597683
21039,36.85372876,-88.9669222
27017,46.59180601,-92.67601019
24011,38.87172293,-75.82904158
51033,38.02679129,-77.34901405
5015,36.3403856,-93.54270261
13045,33.58138199,-85.07976677
17015,42.06823429,-89.93395545
18015,40.5807832,-86.56198812
19027,42.03617207,-94.86032705
21041,38.66599534,-85.12601074
24013,39.56453592,-77.02373735
28015,33.44834567,-89.91994479
29033,39.42762566,-93.50626255
33003,43.87498583,-71.20430216
39019,40.5789686,-81.09178213
47017,35.97366108,-88.45189331
51035,36.73066666,-80.73455942
48065,35.40365929,-101.3542669
32510,39.15509045,-119.7480219
21043,38.31690743,-83.05092385
29035,36.94160441,-90.96051322
40019,34.25103751,-97.28552485
47019,36.28969086,-82.12588974
37031,34.8932941,-76.54120135
27019,44.82017001,-93.8009918
30013,47.30797024,-111.3467922
21045,37.32533118,-84.92726209
17017,39.96991073,-90.24734436
18017,40.76135835,-86.34830753
